start	end	text
0	15120	Musik
30520	37560	Du du hast du hast mich
37560	44640	du du hast du hast mich
44640	55380	du du hast du hast mich
55700	58980	du hast du hast mich
76980	82020	du du hast du hast mich
82420	84220	du hast mich
84220	86220	du hast mich gefragt
86220	88220	du hast mich gefragt
88220	89720	du hast mich gefragt
89720	92220	und ich hab nichts gesagt
92220	96020	Willst du bis der Tod euch scheiden
96020	100020	treu ihr sein für alle Tage?
101720	102720	Nein!
105520	106520	Nein!
107520	111420	Willst du bis der Tod euch scheiden
111420	115420	treu ihr sein für alle Tage?
116920	117920	Nein!
120920	121920	Nein!
122420	123420	Nein!
138420	143420	Du du hast du hast mich
145920	151420	du du hast du hast mich
152920	157920	du du hast du hast mich
157920	159920	du hast mich
159920	161920	du hast mich gefragt
161920	163920	du hast mich gefragt
163920	165920	du hast mich gefragt
165920	167920	und ich hab nichts gesagt
182920	186920	Willst du bis der Tod euch scheiden
186920	190920	treu ihr sein für alle Tage?
192920	193920	Nein!
196920	197920	Nein!
198920	201920	Willst du bis zum Tod der Scheide
201920	206920	sie leben auch in schlechteren Tagen?
207920	208920	Nein!
212920	213920	Nein!
214920	218920	Willst du bis der Tod euch scheiden
218920	222920	treu ihr sein?
224920	225920	Nein!
227920	228920	Nein!
