start	end	text
30000	33800	Beyo, por favor.
50020	53580	Esta es una presentación de AT.
60000	64120	¡Solo para mí!
80120	81160	Sí me importa.
81160	93160	Una bola baja, la atrapado. Tira segunda base. Ahora primera. ¡Qué jugada!
93160	96160	¿Qué te pasa? ¡Casi me mataste!
96160	99160	¿La atrapaste? ¿No es así? ¡Tírame otra!
99160	101160	Olvida, lo tiras muy fuerte.
101160	103160	Seremos suave. ¡Vamos!
103160	106160	Esa es la última. Debemos ir a entrenamiento.
107160	109160	¡Wow! ¡Mira eso!
109160	110160	¿Qué?
110160	112160	¡Es tu hermana!
112160	116160	¡Hola, Alfie! ¿Te gusta el vehículo de Edward?
116160	117160	¡Muy bonito!
117160	118160	¿De dónde lo agarraste?
118160	120160	¿Cómo que de dónde lo agarre? Lo compré.
120160	121160	¿Me llevas?
121160	123160	Tengo a encontrarme con unos amigos. ¿Quieres venir?
123160	124160	¡Claro!
124160	127160	Alfredo, el entrenamiento.
127160	128160	¿Llegara un poco tarde?
128160	130160	Sí, llegaré tarde. ¡Vamos!
130160	132160	No, vete solo si quieres.
132160	133160	¿Cómo quieras?
133160	134160	¿Y tú vienes?
134160	137160	No puedo. Si no preparo la cena, mi mamá me mata.
137160	140160	¿Por qué va a enojarse contigo? ¿Eres su bebita?
140160	142160	No, si no preparo la cena.
145160	146160	¡Adiós!
146160	147160	¡Adiós!
147160	149160	¿Qué quieres que le diga al entrenador?
149160	150160	Nada, no faltaré.
150160	152160	Besos, no faltará.
158160	161160	¡Claro! No faltaré.
161160	164160	¡Claro! No faltará.
174160	181160	Tres, cuatro, cinco, seis, siete, ocho, nueve, diez.
181160	185160	Muy bien, den una vuelta, luego jugaremos, ¿vamos?
185160	186160	Hola, señor.
186160	187160	¿Llegas tarde?
187160	188160	Lo siento, tenía algo que hacer.
188160	189160	¿Algún problema?
189160	190160	No, ninguno.
190160	191160	Entonces, ¿por qué llegas tarde?
191160	193160	Ya le dije, tenía que hacer algo.
193160	196160	También tienes la obligación de cumplir con nuestro reglamento.
196160	199160	Si eliges llegar tarde, no podrás seguir jugando.
199160	200160	Bueno.
200160	202160	Un momento, Alfredo.
204160	207160	Eres el mejor jugador que tengo, te necesito en el equipo.
207160	209160	Quiero que seas el capitán.
209160	210160	¿Sabes lo que significa eso?
210160	211160	Sí.
211160	212160	¿Qué?
212160	214160	Quiere que sea más responsable.
214160	215160	Así es.
215160	217160	El sábado tenemos un partido muy importante.
217160	220160	¿Qué clase de ejemplo darás a los demás cuando llegas tarde a entrenar?
220160	221160	No lo sé.
221160	222160	¿Te parece bueno?
222160	224160	No, creo que no.
224160	225160	Claro que no.
225160	227160	Las reglas son para todos.
227160	229160	Si no las cumples, no solo te lastimas a ti,
229160	231160	también lastimas a los demás.
231160	232160	¿Entendido?
232160	234160	Sí, lo siento.
234160	236160	De acuerdo, que no vuelva a suceder.
236160	238160	Ve a correr con los demás.
240160	241160	Solo un poco tarde.
241160	242160	Oye, ya estoy aquí.
242160	244160	Llegaste tarde, ¿dónde estabas?
244160	245160	Vimos a pasear.
251160	252160	Sí, sí.
252160	253160	Ya sabes que es estricta.
253160	255160	No me dejarás salir contigo.
255160	256160	No.
256160	258160	Sabes que te amo.
258160	259160	Claro que sí.
259160	260160	Debo cortar.
260160	261160	Ya volvió.
263160	264160	Hola, mamá.
264160	265160	Hola, hijita.
265160	266160	¿Cómo estamos?
266160	267160	¿Por qué en plural?
267160	268160	Yo estoy bien.
268160	269160	Lo lamento.
269160	270160	¿Alfredo está en entrenamiento?
270160	271160	Eso creo.
271160	272160	Edward lo llevó.
272160	273160	¿Edward?
273160	274160	¿En qué?
274160	275160	En su nuevo auto.
275160	276160	¿Edward tiene un auto?
276160	277160	Sí, lo compró hoy.
277160	278160	¿Y cómo lo pagó?
278160	279160	Trabaja, mamá.
279160	281160	Sí, en un lavadero de autos.
281160	283160	¿Por qué siempre desconfías de él?
283160	284160	Porque no confío en él.
284160	286160	Y no quiero que viajes en su vehículo.
286160	287160	¿Por qué no?
287160	288160	Porque aún eres muy joven.
288160	289160	Jamás me dejas hacer nada.
289160	291160	Tú salías con tus amigos a los 14 años.
291160	293160	Sí, créeme que he pagado por ello.
293160	294160	Jamás termine la secundaria.
294160	296160	Pero esto es diferente.
296160	297160	Lo siento, cariño.
297160	299160	Tendrás que esperar a tener 16 años.
299160	301160	Es que no confías en mí, ¿verdad?
301160	303160	Claro que confío en ti, hijita.
303160	304160	Sí confío.
304160	307160	Pero esa es la regla y es muy importante para mí.
307160	310160	Pues tal vez haces tu regla, pero es una tontería.
310160	312160	Esta muchacha me desespera.
312160	313160	Teresa!
313160	315160	Teresa Martínez, ven aquí ahora mismo.
